compatibility,surface,refusal_reason,message_vector,test_destination,reviewer,source_search_key
apache_ignite,catalog_overlay_surface:baseline,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:baseline
apache_ignite,catalog_overlay_surface:snapshots,MGA authority refusal: compatibility transaction finality visibility rollback or recovery cannot substitute for ScratchBird engine-owned MGA authority,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:snapshots
apache_ignite,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:policy
apache_ignite,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#marker:unsupported
cassandra,cassandra.admin.nodetool,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CASSANDRA.AUTHORITY.NODETOOL_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.admin.nodetool
cassandra,cassandra.admin.repair,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CASSANDRA.AUTHORITY.REPAIR_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.admin.repair
cassandra,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kDiagnosticSurfaces:policy
cassandra,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#marker:unsupported
clickhouse,clickhouse.system.command,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CLICKHOUSE.AUTHORITY.SYSTEM_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.system.command
clickhouse,clickhouse.system.kill,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CLICKHOUSE.AUTHORITY.SYSTEM_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.system.kill
