reference_id,display_name,reference_execution_plan,live_migration_support_class,implementation_start_state,required_start_evidence,required_completion_evidence,project_tests_root,go_no_go_file,status
apache_ignite,Apache Ignite,project/tests/reference_regression/apache_ignite,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/apache_ignite,project/tests/reference_regression/apache_ignite/README.md,blocked_by_gate_evidence_register
cassandra,Cassandra,project/tests/reference_regression/cassandra,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/cassandra,project/tests/reference_regression/cassandra/README.md,blocked_by_gate_evidence_register
clickhouse,ClickHouse,project/tests/reference_regression/clickhouse,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/clickhouse,project/tests/reference_regression/clickhouse/README.md,blocked_by_gate_evidence_register
cockroachdb,CockroachDB,project/tests/reference_regression/cockroachdb,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/cockroachdb,project/tests/reference_regression/cockroachdb/README.md,blocked_by_gate_evidence_register
dolt,Dolt,project/tests/reference_regression/dolt,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/dolt,project/tests/reference_regression/dolt/README.md,blocked_by_gate_evidence_register
duckdb,DuckDB,project/tests/reference_regression/duckdb,snapshot_pause,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/duckdb,project/tests/reference_regression/duckdb/README.md,blocked_by_gate_evidence_register
firebird,FirebirdSQL,project/tests/reference_regression/firebird,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/firebird,project/tests/reference_regression/firebird/README.md,blocked_by_gate_evidence_register
foundationdb,FoundationDB,project/tests/reference_regression/foundationdb,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/foundationdb,project/tests/reference_regression/foundationdb/README.md,blocked_by_gate_evidence_register
immudb,immudb,project/tests/reference_regression/immudb,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/immudb,project/tests/reference_regression/immudb/README.md,blocked_by_gate_evidence_register
influxdb,InfluxDB,project/tests/reference_regression/influxdb,proxy_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/influxdb,project/tests/reference_regression/influxdb/README.md,blocked_by_gate_evidence_register
