slice_id,phase,title,status,owner,outputs,acceptance
DCT-000,P0,Driver source inventory and provenance freeze,complete,coordinator,artifacts/DRIVER_SOURCE_INVENTORY.csv;artifacts/DRIVER_SOURCE_PROVENANCE.md,Every imported driver adaptor and tool is inventoried with source path destination category language build system and required status
DCT-001,P0,Build artifact isolation policy,complete,build worker,artifacts/BUILD_ARTIFACT_ISOLATION_POLICY.md,Every ecosystem has an assigned build cache dependency package and test output path under build/
DCT-002,P0,Path realignment backlog,complete,path worker,artifacts/PATH_REALIGNMENT_BACKLOG.csv,All absolute legacy old driver track and source-root assumptions are found classified and assigned to remediation
DCT-003,P0,Toolchain and dependency policy,complete,build worker,artifacts/TOOLCHAIN_AND_DEPENDENCY_POLICY.md,Required optional waiver and download/cache behavior is defined for every language and adaptor ecosystem
DCT-004,P0,Common driver conformance matrix,complete,conformance worker,artifacts/DRIVER_COMMON_CONFORMANCE_MATRIX.csv,Connect auth prepare execute fetch transaction metadata type error reconnect protocol and cancellation coverage is defined for every actual driver
DCT-005,P0,CTest driver gate matrix,complete,CTest worker,artifacts/CTEST_DRIVER_GATE_MATRIX.csv,Every driver adaptor and tool has required CTest labels target ownership skip policy and evidence output paths
DCT-006,P0,Server fixture lifecycle policy,complete,CTest worker,artifacts/SERVER_FIXTURE_LIFECYCLE_POLICY.md,CTest fixture start stop port database socket log timeout and cleanup behavior is defined under build/
DCT-007,P0,Benchmark and Execution_Plan 10 readiness policy,complete,benchmark worker,artifacts/BENCHMARK_DRIVER_READINESS_POLICY.md,Execution_Plan 10 and benchmark outputs must use current repo drivers and write result JSON under build/benchmarks/
DCT-008,P0,Packaging install and release claim policy,complete,release worker,artifacts/PACKAGING_INSTALL_GATE_POLICY.md;artifacts/RELEASE_CLAIM_POLICY.md,Each driver adaptor and tool has distributable build install smoke and release status criteria
DCT-009,P0,Static hygiene and source-tree write policy,complete,hygiene worker,artifacts/STATIC_HYGIENE_GATE_POLICY.md,Generated artifacts caches binaries old paths and source-tree writes are fatal unless explicitly historical reference
DCT-010,P1,CMake driver orchestration substrate,complete,build worker,project/drivers/CMakeLists.txt;project/drivers/scripts/driver_execution_plan_gate.py;CTest registrations,CMake can discover or explicitly register driver adaptor and tool gates without enabling all toolchains by default
DCT-011,P1,Build directory layout implementation,complete,build worker,build/drivers layout;driver build helpers,All language build systems are redirected to build/drivers/{driver|adaptor|tool}/{name}/
DCT-012,P1,Dependency cache redirection,complete,build worker,dependency cache wrappers and env templates,Package managers download and cache dependencies under build/drivers/_deps or fail with clear diagnostics
DCT-013,P1,Old path and source-tree write gates,complete,hygiene worker,old path scanner;source-tree write guard CTest target,CTest fails on old external path usage generated artifact writes or changed source tree after driver tests
DCT-020,P2,CPP driver integration,complete,driver worker,project/drivers/driver/cpp build and tests,driver_cpp_gate passes with build outputs under build/drivers/driver/cpp
DCT-021,P2,Dart driver integration,complete,driver worker,project/drivers/driver/dart build and tests,driver_dart_gate passes with pub cache and test outputs under build/drivers/driver/dart
DCT-022,P2,Dotnet driver integration,complete-offline-live-filtered,driver worker,project/drivers/driver/dotnet build and tests,driver_dotnet_gate passes with bin obj packages and test results under build/drivers/driver/dotnet
DCT-023,P2,Elixir driver integration,complete,driver worker,project/drivers/driver/elixir build and tests,driver_elixir_gate passes with deps build and test outputs under build/drivers/driver/elixir
DCT-024,P2,Go driver integration,complete,driver worker,project/drivers/driver/go build and tests,driver_go_gate passes with GOMODCACHE GOCACHE and test outputs under build/drivers/driver/go
DCT-025,P2,JDBC driver integration,complete-offline-live-filtered,driver worker,project/drivers/driver/jdbc build and tests,driver_jdbc_gate passes with Gradle cache build and reports under build/drivers/driver/jdbc
DCT-026,P2,Mojo driver integration,complete,driver worker,project/drivers/driver/mojo build and tests,driver_mojo_gate passes with outputs under build/drivers/driver/mojo
DCT-027,P2,Node driver integration,complete,driver worker,project/drivers/driver/node build and tests,driver_node_gate passes with npm cache node_modules dist and reports under build/drivers/driver/node
DCT-028,P2,ODBC driver integration,complete,driver worker,project/drivers/driver/odbc build and tests,driver_odbc_gate passes with CMake outputs under build/drivers/driver/odbc
DCT-029,P2,Pascal driver integration,complete,driver worker,project/drivers/driver/pascal build and tests,driver_pascal_gate passes with compiler outputs under build/drivers/driver/pascal
DCT-030,P2,PHP driver integration,complete,driver worker,project/drivers/driver/php build and tests,driver_php_gate passes with Composer cache vendor and reports under build/drivers/driver/php
DCT-031,P2,Python driver integration,complete,driver worker,project/drivers/driver/python build and tests,driver_python_gate passes with venv cache pytest cache bytecode and reports under build/drivers/driver/python
DCT-032,P2,R driver integration,complete,driver worker,project/drivers/driver/r build and tests,driver_r_gate passes with library cache build artifacts and reports under build/drivers/driver/r
DCT-033,P2,Ruby driver integration,complete,driver worker,project/drivers/driver/ruby build and tests,driver_ruby_gate passes with bundle gem build and reports under build/drivers/driver/ruby
DCT-034,P2,Rust driver integration,complete,driver worker,project/drivers/driver/rust build and tests,driver_rust_gate passes with CARGO_TARGET_DIR CARGO_HOME and reports under build/drivers/driver/rust
DCT-035,P2,Swift driver integration,complete,driver worker,project/drivers/driver/swift build and tests,driver_swift_gate passes with Swift package build and reports under build/drivers/driver/swift
DCT-040,P3,DBeaver adaptor integration,complete,adaptor worker,project/drivers/adaptor/scratchbird-dbeaver-driver current-project design gate plus p2 packaging and local stock-install smoke,adaptor_dbeaver_gate passes design validation Maven/Tycho p2 packaging staged JDBC bundling and copied local DBeaver CE p2 install verification under build/drivers/adaptor/scratchbird-dbeaver-driver
DCT-041,P3,Hibernate adaptor integration,complete,adaptor worker,project/drivers/adaptor/scratchbird-hibernate-dialect build and tests,adaptor_hibernate_gate passes with Maven outputs under build/drivers/adaptor/scratchbird-hibernate-dialect
DCT-042,P3,Metabase adaptor integration,complete,adaptor worker,project/drivers/adaptor/scratchbird-metabase-driver build and tests,adaptor_metabase_gate passes with Clojure cache build and reports under build/drivers/adaptor/scratchbird-metabase-driver
DCT-043,P3,Prisma adaptor integration,complete,adaptor worker,project/drivers/adaptor/scratchbird-prisma-adapter build and tests,adaptor_prisma_gate passes with npm cache build and reports under build/drivers/adaptor/scratchbird-prisma-adapter
DCT-044,P3,SQLAlchemy adaptor integration,complete,adaptor worker,project/drivers/adaptor/scratchbird-sqlalchemy-dialect build and tests,adaptor_sqlalchemy_gate passes with Python cache build and reports under build/drivers/adaptor/scratchbird-sqlalchemy-dialect
DCT-045,P3,Superset adaptor integration,complete,adaptor worker,project/drivers/adaptor/scratchbird-superset-driver build and tests,adaptor_superset_gate passes with Python cache build and reports under build/drivers/adaptor/scratchbird-superset-driver
DCT-046,P3,TypeORM adaptor integration,complete,adaptor worker,project/drivers/adaptor/scratchbird-typeorm-adapter build and tests,adaptor_typeorm_gate passes with npm cache build and reports under build/drivers/adaptor/scratchbird-typeorm-adapter
DCT-050,P4,CLI tool integration,complete,tool worker,project/drivers/tool/cli build and tests,tool_cli_gate passes with CLI binaries tests and reports under build/drivers/tool/cli
DCT-060,P5,CTest server fixture implementation,complete,CTest worker,server fixture scripts and CTest fixtures,driver_server_fixture_gate plus database_lifecycle_server_daemon_conformance database_lifecycle_listener_conformance database_lifecycle_ipc_conformance and SBsql listener/server route smoke tests pass with runtime files under build/
DCT-061,P5,Driver common conformance implementation,complete,conformance worker,common conformance fixtures and per-driver adapters,driver_common_conformance_gate passes and ctest -L driver_tool_adaptor_gate proves all driver component gates including connect auth execute fetch metadata transactions errors type mapping reconnect and protocol negotiation surfaces
DCT-062,P5,Adaptor functional contract tests,complete,adaptor worker,adaptor CTest wrappers and fixture tests,All adaptor_*_gate CTests pass through current repo paths and basic integration contracts without external old paths
DCT-063,P5,Tool functional contract tests,complete,tool worker,tool CTest wrappers and fixture tests,tool_cli_gate plus database_lifecycle_admin_cli_static and database_lifecycle_admin_cli_conformance pass for help version admin route failure handling and output-shaping coverage
DCT-064,P5,Execution_Plan 10 benchmark harness integration,complete,benchmark worker,benchmark CTest wrapper and result normalizer,driver_benchmark_readiness_gate driver_execution_plan10_runner_gate driver_full_route_benchmark_evidence_gate and driver_performance_budget_threshold_gate pass with current driver path and build-output isolation evidence
DCT-065,P5,Packaging and install smoke gates,complete,release worker,package build scripts and install smoke CTest wrappers,driver_packaging_install_gate driver_status_packaging_evidence_gate database_lifecycle_packaging_service_static and database_lifecycle_packaging_service_conformance pass without source-tree package outputs
DCT-066,P5,Static hygiene gate implementation,complete,hygiene worker,driver_static_hygiene_gate implementation,Static hygiene gate fails on source-tree caches binaries old paths missing labels and unsupported release claims
DCT-070,P6,Aggregate CTest driver suite,complete,CTest worker,drivers_all aggregate target and labels,drivers_all and ctest -L driver_tool_adaptor_gate pass every required driver adaptor tool server fixture conformance packaging benchmark-readiness and hygiene gate
DCT-071,P6,Documentation and build matrix update,complete,docs worker,project/drivers/README.md;artifacts/DRIVER_BUILD_TEST_MATRIX.md,Docs list every driver adaptor tool with build command CTest label artifact root toolchain status and release claim
DCT-072,P6,Final zero-drift audit,complete,coordinator,FINAL_AUDIT.md;VALIDATION_RESULT.md;CLOSURE_REPORT.md;artifacts/P5_CURRENT_SOURCE_REVALIDATION_NOTE.md,drivers_final_zero_drift_audit passes with zero old-path hits zero source-tree outputs zero missing required labels zero unsupported claims and current-source P5 live fixture evidence
