gate_id,phase,title,status,required_evidence,pass_rule
DSR_G00,P0,Checklist promoted to canonical authority,completed,public_contract_snapshot;public_contract_snapshot,Registry parses and every checklist row has stable id requirement and evidence-required rule
DSR_G01,P0,PEER fail-closed regression,completed,project/src/engine/internal_api/security/auth_provider_model.cpp;project/tests/database_lifecycle/security_auth_audit_p4_conformance.cpp,PEER without verified OS peer credential evidence is denied and PEER with verified evidence is accepted
DSR_G02,P0,Implementation-ahead classification ready,completed,artifacts/IMPLEMENTATION_AHEAD_CLASSIFICATION.csv,Every audit item has class owner spec target implementation target and gate
DSR_G02A,P0,Execution_Plan execution-control artifacts ready,completed,artifacts/TARGET_EVIDENCE_MANIFEST.csv;artifacts/AGENT_WRITE_SCOPE_MATRIX.csv;artifacts/AI_BUDGET_CONTINGENCY.md;artifacts/HARDENING_REQUIREMENTS.md;artifacts/SPEC_AUTHORITY_CLOSURE_MODEL.md;artifacts/WIRE_SESSION_SPEC_CLOSURE_MODEL.md;artifacts/SECURITY_AUTH_RECONCILIATION_MODEL.md;artifacts/DATATYPE_RESULT_METADATA_CLOSURE_MODEL.md;artifacts/DRIVER_LANE_EVIDENCE_MODEL.md;artifacts/FULL_ROUTE_DRIVER_ACCEPTANCE_FIXTURE.md;artifacts/P0_EXECUTION_PLAN_CREATION_EVIDENCE.md,Execution_Plan can be delegated to agents without missing tracking or closure-model artifacts
DSR_G03,P1,Spec authority complete,completed,public_release_evidence,No target row remains server_unspecified or undocumented_implementation
DSR_G04,P1,Auth registry complete,completed,public_contract_snapshot;public_contract_snapshot,All driver-required and code-visible methods/providers are registered with support state verifier boundary and fail-closed behavior
DSR_G05,P1,Wire/session byte authority complete,completed,public_contract_snapshot,All native-wire/session/connect/cancel/reset/reauth/notification/message schemas are byte specified
DSR_G06,P1,Parameter/result/type authority complete,completed,public_contract_snapshot;public_contract_snapshot,Every D7/D8/D9/D13 metadata and type row has canonical byte/layout authority
DSR_G14,P1,Protocol version skew authority complete,completed,artifacts/PROTOCOL_VERSION_SKEW_MATRIX.md;public_contract_snapshot,Old/new client/server feature negotiation downgrade and unknown extension behavior are specified with test rows
DSR_G15,P1,Deterministic refusal authority complete,completed,artifacts/DETERMINISTIC_REFUSAL_MATRIX.md;public_contract_snapshot,Unsupported guarded conditional and N/A behavior has exact SQLSTATE message vector retryability and finality status
DSR_G07,P2,Implementation reconciled,completed,project/src,Every accepted spec feature is implemented and every unaccepted implementation-ahead feature is guarded or refused
DSR_G16,P2,Fuzz and fault injection gate complete,completed,artifacts/FUZZ_FAULT_INJECTION_MATRIX.md;project/tests,Malformed input replay downgrade and race cases fail closed without crash auth bypass or MGA finality drift
DSR_G08,P3,Driver and adapter manifests complete,completed,public_contract_snapshot*-checklist-status.yaml;public_contract_snapshot*-checklist-status.yaml,Every lane status file has no required not_started implemented_without_evidence server_unspecified or undocumented_implementation rows
DSR_G17,P3,Packaging distribution evidence complete,completed,artifacts/PACKAGING_DISTRIBUTION_EVIDENCE_MODEL.md;project/drivers,Every claimed lane has reproducible package metadata install smoke signing or explicit non-signing citation and build output isolation
DSR_G09,P4,CTest driver gate passes,completed,project/tests;project/drivers,CTest rejects missing row evidence and passes all claimed driver/adaptor/tool routes
DSR_G10,P4,Server verification packets pass,completed,project/drivers,Every claimed driver lane packet runs against live ScratchBird route and records evidence
DSR_G11,P4,Benchmark route correct,completed,project/drivers;project/tests,Benchmark uses client/tool to SBWP/TLS or admitted IPC to listener/parser/server/engine route and engine auth policy
DSR_G18,P4,Performance budget gate passes,completed,artifacts/PERFORMANCE_BUDGET_GATE.md;project/tests;project/drivers,Real-route latency throughput TLS overhead bulk transfer and allocation budgets are measured and enforced
DSR_G19,P4,Documentation and sample app gate passes,completed,artifacts/DOCUMENTATION_SAMPLE_APP_GATE.md;project/drivers;docs,Driver adapter and tool docs include executable sample apps for DSN auth TLS diagnostics transactions metadata and lifecycle
DSR_G20,P4,Donor-driver compatibility route gate passes,completed,artifacts/DONOR_DRIVER_COMPATIBILITY_ROUTE_GATE.md;project/tests,Donor compatibility tests use donor tools or compatibility drivers through the admitted ScratchBird route
DSR_G12,P5,Inventory synchronized,completed,public_audit_summary;public_audit_summary,Public registry and inventory reflect true implemented/proven state
DSR_G13,P5,Final closure,completed,FINAL_AUDIT.md;CLOSURE_REPORT.md,All gates pass and no target row is grey
DSR_G21,P5,Machine-readable release declaration generated,completed,artifacts/RELEASE_DECLARATION_GENERATOR_MODEL.md;public_audit_summary,Release declaration states supported fail_closed conditional_n/a or not_implemented for every checklist row and lane
