compatibility,procedural_surface_scope,required_body_encoding,current_implementation_status,enterprise_required_status,proof_destination
firebird,firebird procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/firebird_procedural_enterprise_proof
postgresql,postgresql procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/postgresql_procedural_enterprise_proof
mysql,mysql procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/mysql_procedural_enterprise_proof
mariadb,mariadb procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/mariadb_procedural_enterprise_proof
sqlite,sqlite procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/sqlite_procedural_enterprise_proof
duckdb,duckdb procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/duckdb_procedural_enterprise_proof
clickhouse,clickhouse procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/clickhouse_procedural_enterprise_proof
tidb,tidb procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/tidb_procedural_enterprise_proof
vitess,vitess procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/vitess_procedural_enterprise_proof
cockroachdb,cockroachdb procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/cockroachdb_procedural_enterprise_proof
yugabytedb,yugabytedb procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/yugabytedb_procedural_enterprise_proof
cassandra,cassandra procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/cassandra_procedural_enterprise_proof
mongodb,mongodb procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/mongodb_procedural_enterprise_proof
redis,redis procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/redis_procedural_enterprise_proof
opensearch_sql_ppl,opensearch_sql_ppl procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/opensearch_sql_ppl_procedural_enterprise_proof
opensearch,opensearch procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/opensearch_procedural_enterprise_proof
neo4j,neo4j procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/neo4j_procedural_enterprise_proof
influxdb,influxdb procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/influxdb_procedural_enterprise_proof
milvus,milvus procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/milvus_procedural_enterprise_proof
dolt,dolt procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/dolt_procedural_enterprise_proof
apache_ignite,apache_ignite procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/apache_ignite_procedural_enterprise_proof
tikv,tikv procedural bodies functions procedures triggers packages rules where supported,UUID-bound AST with executable SBLR plus JIT and AOT readiness evidence,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/tikv_procedural_enterprise_proof
