compatibility,datatype_scope,forbidden_completion_shortcut,current_implementation_status,enterprise_required_status,proof_destination
firebird,firebird exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/firebird_datatype_exactness_proof
postgresql,postgresql exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/postgresql_datatype_exactness_proof
mysql,mysql exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/mysql_datatype_exactness_proof
mariadb,mariadb exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/mariadb_datatype_exactness_proof
sqlite,sqlite exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/sqlite_datatype_exactness_proof
duckdb,duckdb exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/duckdb_datatype_exactness_proof
clickhouse,clickhouse exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/clickhouse_datatype_exactness_proof
tidb,tidb exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/tidb_datatype_exactness_proof
vitess,vitess exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/vitess_datatype_exactness_proof
cockroachdb,cockroachdb exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/cockroachdb_datatype_exactness_proof
yugabytedb,yugabytedb exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/yugabytedb_datatype_exactness_proof
cassandra,cassandra exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/cassandra_datatype_exactness_proof
mongodb,mongodb exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/mongodb_datatype_exactness_proof
redis,redis exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/redis_datatype_exactness_proof
opensearch_sql_ppl,opensearch_sql_ppl exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/opensearch_sql_ppl_datatype_exactness_proof
opensearch,opensearch exact scalar numeric temporal binary text array document and compatibility-specific datatype semantics,generic text fallback generic ScratchBird descriptor and parser-only coercion are forbidden,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/opensearch_datatype_exactness_proof
