semantic_id,compatibility_scope,surface_family,semantic_defaults_required,sblr_descriptor_fields_required,engine_behavior_required,catalog_projection_required,current_status,required_status,test_destination
DPDE-SEM-001,all compatibility parsers,observable_result_equivalence,compatibility profiled observable_result_equivalence behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific observable_result_equivalence behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/observable_result_equivalence_proof
DPDE-SEM-002,all compatibility parsers,indexes,compatibility profiled indexes behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,reject generic defaults and prove compatibility index semantics,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/indexes_proof
DPDE-SEM-003,all compatibility parsers,constraints,compatibility profiled constraints behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific constraints behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/constraints_proof
DPDE-SEM-004,all compatibility parsers,identifiers_and_namespaces,compatibility profiled identifiers_and_namespaces behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific identifiers_and_namespaces behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/identifiers_and_namespaces_proof
DPDE-SEM-005,all compatibility parsers,ddl_transaction_behavior,compatibility profiled ddl_transaction_behavior behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific ddl_transaction_behavior behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/ddl_transaction_behavior_proof
DPDE-SEM-006,all compatibility parsers,sequences_generators_identity,compatibility profiled sequences_generators_identity behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific sequences_generators_identity behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/sequences_generators_identity_proof
DPDE-SEM-007,all compatibility parsers,resources_text_semantics,compatibility profiled resources_text_semantics behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific resources_text_semantics behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/resources_text_semantics_proof
DPDE-SEM-008,all compatibility parsers,expressions_operators_casts,compatibility profiled expressions_operators_casts behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific expressions_operators_casts behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/expressions_operators_casts_proof
DPDE-SEM-009,all compatibility parsers,routines_triggers_rules,compatibility profiled routines_triggers_rules behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific routines_triggers_rules behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/routines_triggers_rules_proof
DPDE-SEM-010,all compatibility parsers,temporary_transient_objects,compatibility profiled temporary_transient_objects behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific temporary_transient_objects behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/temporary_transient_objects_proof
DPDE-SEM-011,all compatibility parsers,statistics_optimizer_metadata,compatibility profiled statistics_optimizer_metadata behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific statistics_optimizer_metadata behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/statistics_optimizer_metadata_proof
DPDE-SEM-012,all compatibility parsers,locks_isolation_syntax,compatibility profiled locks_isolation_syntax behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific locks_isolation_syntax behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/locks_isolation_syntax_proof
DPDE-SEM-013,all compatibility parsers,system_catalog_defaults,compatibility profiled system_catalog_defaults behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific system_catalog_defaults behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/system_catalog_defaults_proof
DPDE-SEM-014,all compatibility parsers,session_settings_and_diagnostics,compatibility profiled session_settings_and_diagnostics behavior must be preserved,compatibility_profile_uuid; semantic_profile_uuid; descriptor UUID dependencies,compatibility-specific session_settings_and_diagnostics behavior; no generic fallback,compatibility catalog projection where applicable,active_blocker_truth,enterprise_implemented_proven,project/tests/compatibility_sql_parser_first_tranche/semantic_defaults/session_settings_and_diagnostics_proof
