gate_id,phase,status,pass_rule,evidence
PCF_G00_TARGETS_READY,P0,completed,All five target P1 rows are captured with stable registry and gap identifiers,artifacts/TARGET_GAPS.csv
PCF_G01_EVIDENCE_SCHEMA_READY,P0,completed,Target evidence manifest has required columns and target row coverage,artifacts/TARGET_EVIDENCE_MANIFEST.csv
PCF_G02_HARDENING_READY,P0,completed,No-secret MGA fail-closed registry and no-placeholder controls are documented,artifacts/HARDENING_REQUIREMENTS.md
PCF_G03_PROTECTED_MATERIAL_MODEL_READY,P0,completed,Protected material catalog closure model is specific enough for implementation,artifacts/PROTECTED_VERSIONED_MATERIAL_CATALOG_MODEL.md
PCF_G04_CLOUD_REGISTRY_MODEL_READY,P0,completed,Cloud provider capability registry model is specific enough for implementation,artifacts/CLOUD_PROVIDER_CAPABILITY_REGISTRY_MODEL.md
PCF_G05_IDENTITY_KMS_MODEL_READY,P0,completed,Cloud identity KMS and secretless model is specific enough for implementation,artifacts/CLOUD_IDENTITY_KMS_SECRETLESS_MODEL.md
PCF_G06_OPERATOR_MODEL_READY,P0,completed,Kubernetes operator lifecycle model is specific enough for implementation,artifacts/KUBERNETES_OPERATOR_LIFECYCLE_MODEL.md
PCF_G07_EDGE_MODEL_READY,P0,completed,Edge cache CDN invalidation model is specific enough for implementation,artifacts/EDGE_CACHE_CDN_INVALIDATION_MODEL.md
PCF_G08_SECURITY_LIFECYCLE_HARDENING_READY,P0,completed,Threat redaction diagnostics bootstrap emulator backup restore public/private metrics audit and release declaration artifacts are present,artifacts/THREAT_MODEL_AND_SECRET_REDACTION_MATRIX.md;artifacts/DIAGNOSTIC_CODE_MATRIX.md;artifacts/BOOTSTRAP_AND_DEFAULT_POLICY_MATRIX.md;artifacts/LOCAL_EMULATOR_FIXTURE_POLICY.md;artifacts/BACKUP_RESTORE_PITR_PROTECTED_MATERIAL_POLICY.md;artifacts/PUBLIC_PRIVATE_BOUNDARY_MATRIX.md;artifacts/METRICS_AND_AUDIT_EVIDENCE_MODEL.md;artifacts/FINAL_RELEASE_DECLARATION_MODEL.md
PCF_G09_OPERATIONAL_HARDENING_READY,P0,completed,Management/SBLR migration outbox resource ABI conformance and admin sample artifacts are present,artifacts/MANAGEMENT_SURFACE_AND_SBLR_OPERATION_MATRIX.md;artifacts/PERSISTED_FORMAT_AND_MIGRATION_POLICY.md;artifacts/EXTERNAL_EFFECT_OUTBOX_AND_IDEMPOTENCY_POLICY.md;artifacts/RESOURCE_LIMITS_AND_BACKPRESSURE_POLICY.md;artifacts/PUBLIC_ABI_AND_PACKAGE_MANIFEST_MATRIX.md;artifacts/CONFORMANCE_MANIFEST_AND_RELEASE_GATE_RECORDS.md;artifacts/ADMIN_DOCS_AND_SAMPLE_FLOW.md
PCF_G10_PROTECTED_MATERIAL_SPEC,P1,completed,Canonical specs define protected material rows descriptors policy links diagnostics projections and authority boundaries,public_contract_snapshot
PCF_G11_PROTECTED_MATERIAL_IMPLEMENTATION,P1,completed,Protected material create version resolve release purge audit and MGA visibility tests pass,protected_material_catalog_gate
PCF_G20_CLOUD_PROVIDER_SPEC,P2,completed,Canonical specs define provider capability profile deployment selector diagnostics and fail-closed rules,public_contract_snapshot
PCF_G21_CLOUD_PROVIDER_IMPLEMENTATION,P2,completed,Provider capability registry selector and policy tests pass,cloud_provider_capability_registry_gate
PCF_G30_IDENTITY_KMS_SPEC,P3,completed,Canonical specs define secretless identity KMS HSM envelope rotation and static secret refusal,public_contract_snapshot
PCF_G31_IDENTITY_KMS_IMPLEMENTATION,P3,completed,Secretless auth KMS reference envelope rotation and fail-closed tests pass,cloud_identity_kms_secretless_gate
PCF_G40_OPERATOR_SPEC,P4,completed,Operator CRDs reconciler lifecycle idempotency and refusal specs are canonical,public_contract_snapshot
PCF_G41_OPERATOR_IMPLEMENTATION,P4,completed,CRD schema dry-run reconcile lifecycle and diagnostic tests pass,kubernetes_operator_lifecycle_gate
PCF_G50_EDGE_SPEC,P5,completed,Edge cache tag invalidation stream redaction signed event and provider refusal specs are canonical,public_contract_snapshot
PCF_G51_EDGE_IMPLEMENTATION,P5,completed,Cache tag invalidation stream redaction signed provider adapter and refusal tests pass,edge_cache_cdn_invalidation_gate
PCF_G60_MANAGEMENT_SBLR_ABI,P6,completed,Management commands SBLR operations internal APIs package assets and ABI gates pass,public_p1_cloud_management_sblr_abi_gate
PCF_G61_MIGRATION_OUTBOX_RESOURCE_CONFORMANCE_DOCS,P6,completed,Persisted format migration post-commit outbox idempotency resource limits conformance manifests and admin samples pass,public_p1_cloud_operational_hardening_gate
PCF_G62_FULL_ROUTE,P6,completed,Full-route and negative tests prove engine authority and fail-closed behavior for all five targets,public_p1_cloud_foundation_full_route_gate
PCF_G63_RELEASE_DECLARATION,P6,completed,Machine-readable release declaration reports all five target rows evidence gates and remaining public-open count,artifacts/FINAL_RELEASE_DECLARATION_MODEL.md;artifacts/PUBLIC_P1_CLOUD_FOUNDATION_RELEASE_DECLARATION.json
PCF_G64_REGISTRY_SYNC,P6,completed,Registry regeneration with closure overlays reports public_open_entries=24,public_spec_gap_registry_sync_gate;public_spec_gap_id_authority_gate;public_spec_closed_execution_plan_regression_gate
PCF_G65_FINAL_AUDIT,P6,completed,Final audit closure report tracker inventory and target evidence are synchronized,FINAL_AUDIT.md;CLOSURE_REPORT.md
