id,section,capability,requirement,applies_to,owner,spec_refs_required,implementation_refs_required,required_ctest_labels,evidence_artifacts,route_requirement,closure_rule,status
D1.1,3.1 Driver discovery and registration,Driver self-registration with the framework's driver registry,required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_discovery_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D1.2,3.1 Driver discovery and registration,DSN discovery / enumeration without opening,required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_discovery_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D1.3,3.1 Driver discovery and registration,Driver capability advertisement before connection,required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_discovery_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D2.1,3.2 Connection establishment,Open by URL/DSN string,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.2,3.2 Connection establishment,Open by structured config object,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.3,3.2 Connection establishment,Async open,required_where_host_has_async,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.4,3.2 Connection establishment,Connection from pool with key,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.5,3.2 Connection establishment,Connection close (graceful),required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.6,3.2 Connection establishment,"Connection abort (forced, from another thread)",required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.7,3.2 Connection establishment,Reset connection state on return-to-pool,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
