gap_id,registry_id,target_group,required_ctest_labels,evidence_artifacts,implementation_refs_required,closure_rule,status
SB-PUBLIC-GAP-0143,SB-SPEC-IMPLEMENTATION-0185,zero_grey_release_authority,release_gate_record_conformance;conformance_manifest_registry_gate;public_release_foundation_target_zero_grey_gate,public_contract_snapshot;public_contract_snapshot,project/tools/sb_public_spec_zero_grey_gate,All target gate records exist and target zero-grey gate passes,implemented_in_full
SB-PUBLIC-GAP-0066,SB-SPEC-IMPLEMENTATION-0099,transport_security,sbwp_tls_server_listener_gate;sbwp_tls_engine_auth_gate;sbwp_tls_negative_policy_gate;tls_fixture_policy_gate,artifacts/TLS_DRIFT_BASELINE.md;artifacts/TLS_THREAT_MODEL.md;artifacts/TLS_FIXTURE_POLICY.md,project/src/listener;project/src/server;project/src/wire;project/tests/listener;project/tests/sbsql_parser_worker,TLS is implemented on the route and plaintext or invalid proof is refused,implemented_in_full
SB-PUBLIC-GAP-0009,SB-SPEC-IMPLEMENTATION-0034,catalog_closure,catalog_common_descriptor_gate;sys_catalog_table_materialization_gate;catalog_sql_object_synonym_semantics_gate;catalog_synonym_object_gate,public_contract_snapshot;artifacts/CATALOG_PHYSICAL_INDEX_PROFILE.md;artifacts/SYNONYM_OBJECT_SEMANTICS.md,project/src/core/catalog;project/src/catalog/bootstrap;project/src/storage/page/catalog_page,Catalog object descriptors include required UUID lifecycle epoch policy transaction audit and synonym descriptor fields,implemented_in_full
SB-PUBLIC-GAP-0010,SB-SPEC-IMPLEMENTATION-0036,catalog_closure,catalog_name_comment_resolver_gate;sys_catalog_readable_projection_gate,artifacts/INFORMATION_PROJECTION_NAMING_DECISION.md,project/src/engine/internal_api/catalog;project/src/core/catalog,Comments and descriptions are resolver rows and not duplicated as object authority,implemented_in_full
SB-PUBLIC-GAP-0011,SB-SPEC-IMPLEMENTATION-0037,catalog_closure,sys_catalog_table_materialization_gate;catalog_common_descriptor_gate;catalog_sql_object_synonym_semantics_gate;catalog_synonym_object_gate,public_contract_snapshot;artifacts/CATALOG_PHYSICAL_INDEX_PROFILE.md;artifacts/SYNONYM_OBJECT_SEMANTICS.md,project/src/catalog/bootstrap;project/src/storage/page/catalog_page,Required sys.catalog tables including synonym descriptors are materialized with UUID authority and physical index profiles,implemented_in_full
SB-PUBLIC-GAP-0012,SB-SPEC-IMPLEMENTATION-0038,catalog_closure,sys_catalog_readable_projection_gate;information_projection_naming_gate,artifacts/INFORMATION_PROJECTION_NAMING_DECISION.md,project/src/sys;project/src/engine/internal_api/catalog,Readable catalog projections use resolver names and security filtering,implemented_in_full
SB-PUBLIC-GAP-0013,SB-SPEC-IMPLEMENTATION-0039,catalog_closure,sys_information_projection_gate;sys_information_schema_synonym_gate;information_projection_naming_gate;catalog_sql_object_synonym_semantics_gate;catalog_synonym_parent_remap_gate,public_contract_snapshot;artifacts/INFORMATION_PROJECTION_NAMING_DECISION.md;artifacts/SYNONYM_OBJECT_SEMANTICS.md,project/src/sys;project/src/engine/internal_api/catalog,sys.information views exist with resolver-backed names security filtering and sys.information_schema is a first-class synonym object resolving to the same final schema UUID,implemented_in_full
SB-PUBLIC-GAP-0014,SB-SPEC-IMPLEMENTATION-0040,catalog_closure,catalog_generation_mga_gate,artifacts/PERSISTENT_FORMAT_MIGRATION_POLICY.md,project/src/engine/internal_api/catalog;project/src/engine/internal_api/transaction,DDL generation publication commits or rolls back under MGA,implemented_in_full
SB-PUBLIC-GAP-0015,SB-SPEC-IMPLEMENTATION-0043,catalog_closure,catalog_dependency_api_gate;catalog_diagnostic_vector_gate;catalog_sql_object_synonym_semantics_gate;catalog_synonym_resolution_gate;catalog_synonym_parent_remap_gate;catalog_synonym_depth_cycle_gate,public_contract_snapshot;artifacts/CATALOG_PHYSICAL_INDEX_PROFILE.md;artifacts/SYNONYM_OBJECT_SEMANTICS.md,project/src/engine/internal_api/catalog,SqlObjectReference binding is ordered profile-aware security-checked synonym-aware and UUID-only after final target binding,implemented_in_full
SB-PUBLIC-GAP-0016,SB-SPEC-IMPLEMENTATION-0044,catalog_closure,catalog_dependency_api_gate;catalog_sql_object_synonym_semantics_gate;catalog_synonym_object_gate;catalog_synonym_resolution_gate,public_contract_snapshot;artifacts/CATALOG_PHYSICAL_INDEX_PROFILE.md;artifacts/SYNONYM_OBJECT_SEMANTICS.md,project/src/engine/internal_api/catalog,Dependency graph stores traverses and validates synonym target UUID edges with DDL validation,implemented_in_full
