proof_id,proof_type,compatibility,native_tool,case_id,source_or_staged_locator,route_coverage,expected_operation_family,expected_statement_kind,expected_disposition,expected_diagnostic_code,proof_status,ctest_label,test_destination,evidence_key,authority_policy,status,notes
FPR-P6-SUMMARY-001,compatibility_replay_summary,firebird,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/firebird,replay_cases=7;native_tools=1,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.firebird,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-002,compatibility_replay_summary,postgresql,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/postgresql,replay_cases=21;native_tools=4,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.postgresql,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-003,compatibility_replay_summary,mysql,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/mysql,replay_cases=15;native_tools=2,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.mysql,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-004,compatibility_replay_summary,sqlite,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/sqlite,replay_cases=3;native_tools=1,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.sqlite,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-005,compatibility_replay_summary,mariadb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/mariadb,replay_cases=5;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.mariadb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-006,compatibility_replay_summary,duckdb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/duckdb,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.duckdb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-007,compatibility_replay_summary,clickhouse,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/clickhouse,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.clickhouse,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-008,compatibility_replay_summary,tidb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/tidb,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.tidb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-009,compatibility_replay_summary,vitess,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/vitess,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.vitess,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-010,compatibility_replay_summary,cockroachdb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/cockroachdb,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.cockroachdb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
