slice_id,phase,title,status,owner,outputs,acceptance
PRF-000,P0,Target gap registry freeze,completed,coordinator,artifacts/PUBLIC_RELEASE_FOUNDATION_TARGET_GAPS.csv,All five target groups and 20 target public gaps are listed with registry ids priorities gates and source rows
PRF-001,P0,ReleaseGateRecord and conformance manifest schema,completed,release gate agent,public_contract_snapshot;public_contract_snapshot,Release gates have stable uuid status controlling spec evidence ctest label and closure authority fields
PRF-002,P0,Target zero-grey enforcement tool,completed,release gate agent,project/tools/sb_public_spec_zero_grey_gate enhancements;CTest target,Target-only gate fails on any open target gap stale registry missing evidence missing CTest label or non-passing target test
PRF-003,P0,Public gap registry status updater,completed,release gate agent,registry update workflow and audit command,Implemented work can update target gap status only with passing evidence references and source inventory synchronization
PRF-004,P0H,Target evidence manifest,completed,release gate agent,artifacts/TARGET_EVIDENCE_MANIFEST.csv,Every target gap has required CTest labels evidence artifacts implementation refs and closure rule before implementation starts
PRF-005,P0H,Preflight baseline inventories,completed,coordinator,artifacts/PREFLIGHT_BASELINE_INVENTORY.csv,Current TLS catalog constraints and MGA recovery state are inventoried before code changes
PRF-006,P0H,Persistent format and migration policy,completed,storage/catalog/MGA agents,artifacts/PERSISTENT_FORMAT_MIGRATION_POLICY.md,All durable catalog constraint checkpoint dirty manifest backup delta and PITR changes have version upgrade repair and refusal behavior
PRF-007,P0H,Fault-injection matrix,completed,coordinator,artifacts/FAULT_INJECTION_MATRIX.csv,Security catalog constraint and recovery failure modes have expected outcomes and required gates
PRF-008,P0H,Agent write-scope and heartbeat matrix,completed,coordinator,artifacts/AGENT_WRITE_SCOPE_MATRIX.csv;artifacts/AGENT_STATUS.csv,Agents have disjoint write ownership read permissions forbidden paths and heartbeat status schema before implementation starts
PRF-009,P0S,Canonical SQL object synonym contracts,completed,coordinator,public_contract_snapshot;public_contract_snapshot;public_contract_snapshot;public_contract_snapshot;public_contract_snapshot,Manifest-listed canonical specs define first-class SQL object synonyms before implementation begins
PRF-010,P1,TLS drift baseline and threat model,completed,TLS agent,artifacts/TLS_DRIFT_BASELINE.md;artifacts/TLS_THREAT_MODEL.md,Current config-only TLS drift is mapped to implementation tasks diagnostics and tests
