slice_id,phase,title,status,owner,outputs,acceptance
PCF-000,P0,Target registry snapshot,completed,coordinator,artifacts/TARGET_GAPS.csv,All five P1 target rows are listed with stable gap id registry id priority status and source documents
PCF-001,P0,Target evidence manifest schema,completed,verification_agent,artifacts/TARGET_EVIDENCE_MANIFEST.csv,Every target row has CTest labels evidence artifacts implementation refs closure rule and status field
PCF-002,P0,Agent write-scope and heartbeat controls,completed,coordinator,artifacts/AGENT_WRITE_SCOPE_MATRIX.csv;artifacts/AGENT_STATUS.csv,Agents have disjoint ownership forbidden paths heartbeat expectations and evidence refs
PCF-003,P0,Hardening and AI budget controls,completed,coordinator,artifacts/HARDENING_REQUIREMENTS.md;artifacts/AI_BUDGET_CONTINGENCY.md,No-placeholder no-secret MGA fail-closed registry and resume controls are explicit
PCF-004,P0,Implementation models,completed,coordinator,artifacts/PROTECTED_VERSIONED_MATERIAL_CATALOG_MODEL.md;artifacts/CLOUD_PROVIDER_CAPABILITY_REGISTRY_MODEL.md;artifacts/CLOUD_IDENTITY_KMS_SECRETLESS_MODEL.md;artifacts/KUBERNETES_OPERATOR_LIFECYCLE_MODEL.md;artifacts/EDGE_CACHE_CDN_INVALIDATION_MODEL.md;artifacts/FULL_ROUTE_ACCEPTANCE_FIXTURE.md,All five target implementation models and full-route acceptance fixture exist before implementation
PCF-005,P0,Security diagnostics lifecycle hardening artifacts,completed,coordinator,artifacts/THREAT_MODEL_AND_SECRET_REDACTION_MATRIX.md;artifacts/DIAGNOSTIC_CODE_MATRIX.md;artifacts/BOOTSTRAP_AND_DEFAULT_POLICY_MATRIX.md;artifacts/LOCAL_EMULATOR_FIXTURE_POLICY.md;artifacts/BACKUP_RESTORE_PITR_PROTECTED_MATERIAL_POLICY.md;artifacts/PUBLIC_PRIVATE_BOUNDARY_MATRIX.md;artifacts/METRICS_AND_AUDIT_EVIDENCE_MODEL.md;artifacts/FINAL_RELEASE_DECLARATION_MODEL.md,Threat redaction diagnostics bootstrap emulator backup restore public/private metrics audit and release declaration requirements exist before implementation
PCF-006,P0,Management migration outbox resource ABI conformance and docs artifacts,completed,coordinator,artifacts/MANAGEMENT_SURFACE_AND_SBLR_OPERATION_MATRIX.md;artifacts/PERSISTED_FORMAT_AND_MIGRATION_POLICY.md;artifacts/EXTERNAL_EFFECT_OUTBOX_AND_IDEMPOTENCY_POLICY.md;artifacts/RESOURCE_LIMITS_AND_BACKPRESSURE_POLICY.md;artifacts/PUBLIC_ABI_AND_PACKAGE_MANIFEST_MATRIX.md;artifacts/CONFORMANCE_MANIFEST_AND_RELEASE_GATE_RECORDS.md;artifacts/ADMIN_DOCS_AND_SAMPLE_FLOW.md,Management SBLR migration external-effect outbox resource ABI conformance and admin sample requirements exist before implementation
PCF-010,P1,Protected material canonical spec closure,completed,catalog_security_agent,public_contract_snapshot;public_contract_snapshot,Spec defines protected_material and protected_material_version descriptors policies audit diagnostics and sys.information projection rules
PCF-011,P1,Protected material implementation,completed,catalog_security_agent,project/src/core/catalog;project/src/engine/internal_api/security;project/tests,Protected material records APIs policy checks audit and MGA visibility tests pass
PCF-020,P2,Cloud provider capability spec closure,completed,cloud_registry_agent,public_contract_snapshot;public_contract_snapshot,Spec defines provider capability profile deployment selector refusal diagnostics and catalog projection
PCF-021,P2,Cloud provider capability implementation,completed,cloud_registry_agent,project/src/engine/internal_api/cloud;project/src/engine/internal_api/management;project/tests,Provider profile registry selector policy diagnostics and CTest gates pass
PCF-030,P3,Cloud identity KMS spec closure,completed,identity_kms_agent,public_contract_snapshot;public_contract_snapshot,Spec defines workload identity OIDC managed identity IAM role service account token KMS HSM envelope rotation and static-secret refusal
PCF-031,P3,Cloud identity KMS implementation,completed,identity_kms_agent,project/src/engine/internal_api/security;project/src/engine/internal_api/cloud;project/tests,Secretless auth KMS reference envelope rotation refusal and audit gates pass without plaintext secrets
PCF-040,P4,Kubernetes operator spec closure,completed,operator_agent,public_contract_snapshot;public_contract_snapshot,Kubernetes CRDs reconciler idempotency status evidence lifecycle commands cluster-field refusal and diagnostics are specified
PCF-041,P4,Kubernetes operator implementation,completed,operator_agent,project/cloud/kubernetes;project/tests/cloud_ops,Kubernetes manifests schema validation dry-run reconciliation diagnostic and packaging gates pass
