id,section,capability,requirement,applies_to,release_state,spec_status,implementation_status,test_status,closure_status,required_ctest_labels,route_requirement
D1.1,3.1 Driver discovery and registration,Driver self-registration with the framework's driver registry,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_discovery_gate,lane_specific_full_route
D1.2,3.1 Driver discovery and registration,DSN discovery / enumeration without opening,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_discovery_gate,lane_specific_full_route
D1.3,3.1 Driver discovery and registration,Driver capability advertisement before connection,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_discovery_gate,lane_specific_full_route
D2.1,3.2 Connection establishment,Open by URL/DSN string,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.2,3.2 Connection establishment,Open by structured config object,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.3,3.2 Connection establishment,Async open,required_where_host_has_async,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.4,3.2 Connection establishment,Connection from pool with key,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.5,3.2 Connection establishment,Connection close (graceful),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.6,3.2 Connection establishment,"Connection abort (forced, from another thread)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.7,3.2 Connection establishment,Reset connection state on return-to-pool,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.8,3.2 Connection establishment,Validate live connection without round-tripping a query,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.9,3.2 Connection establishment,Failover / multi-host connection string,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.10,3.2 Connection establishment,TCP keepalive / liveness probe,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.11,3.2 Connection establishment,Per-connection network timeout,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.12,3.2 Connection establishment,Server-version probe after connect,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.13,3.2 Connection establishment,Application name / client identification carried to server,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.14,3.2 Connection establishment,Default schema selection at connect,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D2.15,3.2 Connection establishment,Default catalog selection at connect,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.1,3.3 Authentication and bootstrap,Cleartext / startup PASSWORD auth,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.2,3.3 Authentication and bootstrap,SCRAM-SHA-256,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.3,3.3 Authentication and bootstrap,SCRAM-SHA-512,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.4,3.3 Authentication and bootstrap,Channel binding (tls-server-end-point) for SCRAM,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.5,3.3 Authentication and bootstrap,mTLS client-cert auth,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.6,3.3 Authentication and bootstrap,Kerberos / GSSAPI,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.7,3.3 Authentication and bootstrap,OIDC / JWT bearer token,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.8,3.3 Authentication and bootstrap,SAML / federated assertion,required_for_admitted_methods,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.9,3.3 Authentication and bootstrap,LDAP / AD bind (no Kerberos),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.10,3.3 Authentication and bootstrap,mTLS peer-cert principal mapping (PEER),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.11,3.3 Authentication and bootstrap,RADIUS,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.12,3.3 Authentication and bootstrap,WebAuthn / FIDO2 (interactive MFA),conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.13,3.3 Authentication and bootstrap,Workload identity (SPIFFE / managed-identity),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.14,3.3 Authentication and bootstrap,Auth-method probe before any privileged call,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.15,3.3 Authentication and bootstrap,Resolved-auth reporting after attach,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.16,3.3 Authentication and bootstrap,Manager-proxy front-door bootstrap,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D3.17,3.3 Authentication and bootstrap,Fail-closed on admitted-but-unsupported auth method,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
