gate_id,phase,status,requirement,evidence
PRF_G00_TARGET_GAP_REGISTRY_READY,P0,completed,Target gaps are frozen from the public zero-grey registry with no missing or duplicate gap ids,artifacts/PUBLIC_RELEASE_FOUNDATION_TARGET_GAPS.csv;public_release_foundation_target_gap_registry
PRF_G00A_TARGET_EVIDENCE_READY,P0H,completed,Every target gap has explicit required CTest labels evidence artifacts implementation references and closure rule,artifacts/TARGET_EVIDENCE_MANIFEST.csv;public_release_foundation_target_evidence_manifest_gate
PRF_G00B_PREFLIGHT_BASELINE_READY,P0H,completed,Current TLS catalog constraints and MGA recovery state is inventoried before implementation,artifacts/PREFLIGHT_BASELINE_INVENTORY.csv
PRF_G00C_PERSISTENT_FORMAT_READY,P0H,completed,Durable format changes have version migration repair downgrade refusal and compatibility rules before writes land,artifacts/PERSISTENT_FORMAT_MIGRATION_POLICY.md;persistent_format_migration_policy_gate
PRF_G00D_FAULT_INJECTION_READY,P0H,completed,Security catalog constraint and recovery fault scenarios have expected outcomes and required CTest labels,artifacts/FAULT_INJECTION_MATRIX.csv;fault_injection_matrix_gate
PRF_G00E_AGENT_WRITE_SCOPE_READY,P0H,completed,Agent write ownership is disjoint and heartbeat obligations are defined with a seeded status schema,artifacts/AGENT_WRITE_SCOPE_MATRIX.csv;artifacts/AGENT_STATUS.csv;agent_write_scope_gate
PRF_G00F_SYNONYM_SPEC_AUTHORITY_READY,P0S,completed,Canonical manifest-listed contracts define first-class SQL object synonym semantics before implementation begins,public_contract_snapshot;sql_object_synonym_spec_authority_gate
PRF_G01_RELEASE_GATE_SCHEMA_READY,P0,completed,ReleaseGateRecord and conformance manifest records are defined with gate uuid family status target evidence tests owner and closure authority,public_contract_snapshot;public_contract_snapshot
PRF_G02_TARGET_ZERO_GREY_GATE_READY,P0,completed,CTest fails when any target gap is open stale untested or missing evidence and passes only at zero target gaps,public_release_foundation_target_zero_grey_gate
PRF_G03_TLS_WIRE_SECURITY_READY,P1,completed,SBWP/TLS is implemented across listener server parser route with engine-authorized auth channel binding and negative refusal diagnostics,sbwp_tls_server_listener_gate;sbwp_tls_engine_auth_gate;sbwp_tls_negative_policy_gate;tls_fixture_policy_gate
PRF_G04A_CATALOG_INDEX_PROFILE_READY,P2,completed,Catalog physical index profiles are specified for UUID equality name lookup dependency traversal generation and information projections,artifacts/CATALOG_PHYSICAL_INDEX_PROFILE.md;catalog_physical_index_profile_gate
PRF_G04B_SYNONYM_OBJECT_READY,P2,completed,SQL object synonyms implement the canonical spec as first-class catalog objects with target references language scoped name conflict checks bounded dereference cycle diagnostics dependency edges and parent remap behavior,public_contract_snapshot;artifacts/SYNONYM_OBJECT_SEMANTICS.md;catalog_sql_object_synonym_semantics_gate;catalog_synonym_object_gate;catalog_synonym_resolution_gate;catalog_synonym_parent_remap_gate;catalog_synonym_depth_cycle_gate
PRF_G04_CATALOG_AUTHORITY_READY,P2,completed,sys.catalog physical tables common descriptors resolver tables generation dependency graph diagnostics and metadata are implemented,catalog_common_descriptor_gate;sys_catalog_table_materialization_gate;catalog_generation_mga_gate;catalog_dependency_api_gate;catalog_diagnostic_vector_gate;catalog_wire_metadata_gate
PRF_G05A_INFORMATION_PROJECTION_NAMING_READY,P2,completed,User-facing catalog projection names are decided and no competing projection authority is created,artifacts/INFORMATION_PROJECTION_NAMING_DECISION.md;information_projection_naming_gate
PRF_G05_CATALOG_PROJECTIONS_READY,P2,completed,sys.catalog_readable and sys.information projection views exist are security-filtered and use resolver-backed names and comments while sys.information_schema is only a first-class synonym object resolving to sys.information,sys_catalog_readable_projection_gate;sys_information_projection_gate;sys_information_schema_synonym_gate
PRF_G06A_CONSTRAINT_INDEX_DEPENDENCY_READY,P3,completed,Constraint backing-index dependency and required index support are defined before enforcement lands,artifacts/CONSTRAINT_INDEX_DEPENDENCY_POLICY.md;constraint_index_dependency_gate
PRF_G06_CONSTRAINTS_READY,P3,completed,Constraints and keys have catalog descriptors parser DDL SBLR lowering DML enforcement transaction visibility and diagnostics,constraint_catalog_descriptor_gate;constraint_ddl_gate;constraint_dml_enforcement_gate;constraint_transaction_visibility_gate;constraint_diagnostic_gate
PRF_G07_MGA_RECOVERY_READY,P4,completed,MGA proof model checkpoint dirty manifest recovery idempotency and page durability ordering are implemented without WAL semantics,artifacts/MGA_RECOVERY_PROOF_MODEL.md;mga_recovery_proof_model_gate;mga_checkpoint_generation_gate;mga_dirty_manifest_emission_gate;mga_recovery_idempotency_gate;page_durability_ordering_gate
PRF_G08_BACKUP_DELTA_PITR_READY,P4,completed,Backup restore manifests delta coverage and PITR rollforward have MGA proof validation and deterministic recovery tests,mga_recovery_proof_model_gate;backup_restore_manifest_proof_gate;mga_delta_coverage_gate;pitr_rollforward_gate
