source_search_key,canonical_spec_or_reference,implementation_target,validation_gate,status
PUBLIC-RELEASE-FOUNDATION-CLOSURE,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/README.md,Coordinated closure for zero-grey TLS catalog constraints and MGA recovery foundation,PRF_G10_FINAL_TARGET_CLEAN,completed
SB_PUBLIC_SPEC_ZERO_GREY_REGISTRY,public_audit_summary,Target gap authority and release-state source,PRF_G00_TARGET_GAP_REGISTRY_READY,completed
PUBLIC_RELEASE_FOUNDATION_TARGET_EVIDENCE,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/TARGET_EVIDENCE_MANIFEST.csv,Per-gap evidence requirements and closure rules,PRF_G00A_TARGET_EVIDENCE_READY,completed
PUBLIC_RELEASE_FOUNDATION_BASELINE_INVENTORY,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/PREFLIGHT_BASELINE_INVENTORY.csv,Pre-implementation TLS catalog constraint and MGA recovery baseline,PRF_G00B_PREFLIGHT_BASELINE_READY,completed
PUBLIC_RELEASE_FOUNDATION_PERSISTENT_FORMAT_POLICY,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/PERSISTENT_FORMAT_MIGRATION_POLICY.md,Durable format version migration repair and refusal policy for target changes,PRF_G00C_PERSISTENT_FORMAT_READY,completed
PUBLIC_RELEASE_FOUNDATION_FAULT_INJECTION_MATRIX,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/FAULT_INJECTION_MATRIX.csv,Required fault injection scenarios and expected outcomes,PRF_G00D_FAULT_INJECTION_READY,completed
PUBLIC_RELEASE_FOUNDATION_AGENT_WRITE_SCOPE,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/AGENT_WRITE_SCOPE_MATRIX.csv;project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/AGENT_STATUS.csv,Agent write ownership heartbeat schema and forbidden paths,PRF_G00E_AGENT_WRITE_SCOPE_READY,completed
SB_SPEC_SQL_OBJECT_SYNONYM_SEMANTICS,public_contract_snapshot,Canonical first-class SQL object synonym semantics and conformance requirements,PRF_G00F_SYNONYM_SPEC_AUTHORITY_READY;PRF_G04B_SYNONYM_OBJECT_READY,completed
PUBLIC_RELEASE_FOUNDATION_TLS_FIXTURE_POLICY,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/TLS_FIXTURE_POLICY.md,TLS generated certificate mTLS channel-binding and negative fixture policy,PRF_G03_TLS_WIRE_SECURITY_READY,completed
PUBLIC_RELEASE_FOUNDATION_CATALOG_INDEX_PROFILE,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/CATALOG_PHYSICAL_INDEX_PROFILE.md,System catalog physical index profile authority,PRF_G04A_CATALOG_INDEX_PROFILE_READY,completed
PUBLIC_RELEASE_FOUNDATION_INFORMATION_NAMING,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/INFORMATION_PROJECTION_NAMING_DECISION.md,User-facing catalog projection naming and no-competing-authority decision,PRF_G05A_INFORMATION_PROJECTION_NAMING_READY,completed
PUBLIC_RELEASE_FOUNDATION_SYNONYM_OBJECT_SEMANTICS,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/SYNONYM_OBJECT_SEMANTICS.md,First-class SQL object synonym descriptor resolution parent remap and conflict semantics,PRF_G04B_SYNONYM_OBJECT_READY,completed
PUBLIC_RELEASE_FOUNDATION_CONSTRAINT_INDEX_POLICY,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/CONSTRAINT_INDEX_DEPENDENCY_POLICY.md,Constraint backing-index dependency and build order policy,PRF_G06A_CONSTRAINT_INDEX_DEPENDENCY_READY,completed
PUBLIC_RELEASE_FOUNDATION_FULL_ROUTE_FIXTURE,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/FULL_ROUTE_ACCEPTANCE_FIXTURE.md,End-to-end acceptance fixture contract,PRF_G09A_FULL_ROUTE_FIXTURE_READY,completed
PUBLIC_RELEASE_FOUNDATION_MGA_RECOVERY_PROOF_MODEL,project/tools/sb_public_spec_zero_grey_gate/fixtures/public_release_foundation/public_proof/artifacts/MGA_RECOVERY_PROOF_MODEL.md,MGA-only recovery proof model and P4 implementation boundary,PRF_G07_MGA_RECOVERY_READY;PRF_G08_BACKUP_DELTA_PITR_READY,completed
SB-PUBLIC-GAP-0143,public_contract_snapshot,ReleaseGateRecord conformance manifest registry and target zero-grey enforcement,PRF_G01_RELEASE_GATE_SCHEMA_READY;PRF_G02_TARGET_ZERO_GREY_GATE_READY,completed
SB-PUBLIC-GAP-0066,public_contract_snapshot,Server listener parser and wire TLS enforcement with engine authorized authentication,PRF_G03_TLS_WIRE_SECURITY_READY,completed
SB-PUBLIC-GAP-0009,public_contract_snapshot,Catalog object descriptor epoch lifecycle policy owner transaction and audit fields,PRF_G04_CATALOG_AUTHORITY_READY,completed
SB-PUBLIC-GAP-0010,public_contract_snapshot,Centralized multilingual comment and description resolver table,PRF_G04_CATALOG_AUTHORITY_READY;PRF_G05_CATALOG_PROJECTIONS_READY,completed
SB-PUBLIC-GAP-0011,public_contract_snapshot,sys.catalog physical tables table descriptors and first-class synonym descriptors,PRF_G04_CATALOG_AUTHORITY_READY;PRF_G04B_SYNONYM_OBJECT_READY,completed
SB-PUBLIC-GAP-0012,public_contract_snapshot,sys.catalog_readable projection views,PRF_G05_CATALOG_PROJECTIONS_READY,completed
SB-PUBLIC-GAP-0013,public_contract_snapshot,sys.information canonical views plus sys.information_schema first-class synonym object reconciliation to the same final schema UUID,PRF_G04B_SYNONYM_OBJECT_READY;PRF_G05_CATALOG_PROJECTIONS_READY,completed
SB-PUBLIC-GAP-0014,public_contract_snapshot,Catalog generation publication through MGA commit and rollback,PRF_G04_CATALOG_AUTHORITY_READY,completed
SB-PUBLIC-GAP-0015,public_contract_snapshot,SqlObjectReference to BoundObjectIdentity search path synonym dereference parent remap and security checked binding,PRF_G04_CATALOG_AUTHORITY_READY;PRF_G04B_SYNONYM_OBJECT_READY,completed
SB-PUBLIC-GAP-0016,public_contract_snapshot,Catalog lookup dependency graph APIs and synonym target dependency traversal,PRF_G04_CATALOG_AUTHORITY_READY;PRF_G04B_SYNONYM_OBJECT_READY,completed
SB-PUBLIC-GAP-0017,public_contract_snapshot,Driver visible metadata derived from descriptor UUID authority,PRF_G04_CATALOG_AUTHORITY_READY,completed
SB-PUBLIC-GAP-0018,public_contract_snapshot,Catalog diagnostic vector registry and emissions,PRF_G04_CATALOG_AUTHORITY_READY,completed
SB-PUBLIC-GAP-0026,public_contract_snapshot,Constraint descriptor DDL enforcement transaction visibility and diagnostics,PRF_G06_CONSTRAINTS_READY,completed
SB-PUBLIC-GAP-0002,public_contract_snapshot,MGA archive replication and PITR architectural closure,PRF_G07_MGA_RECOVERY_READY;PRF_G08_BACKUP_DELTA_PITR_READY,completed
SB-PUBLIC-GAP-0025,public_contract_snapshot,Single-node backup restore manifests proof and streaming APIs,PRF_G08_BACKUP_DELTA_PITR_READY,completed
SB-PUBLIC-GAP-0027,public_contract_snapshot,MGA sweep cleanup checkpoint and recovery integration,PRF_G07_MGA_RECOVERY_READY,completed
SB-PUBLIC-GAP-0028,public_contract_snapshot,MGA backup-forward delta and archive delta coverage manifests,PRF_G08_BACKUP_DELTA_PITR_READY,completed
SB-PUBLIC-GAP-0029,public_contract_snapshot,Point-in-time recovery target selection and rollforward replay,PRF_G08_BACKUP_DELTA_PITR_READY,completed
SB-PUBLIC-GAP-0030,public_contract_snapshot,Dirty object manifest emission hashing and recovery consumption,PRF_G07_MGA_RECOVERY_READY,completed
SB-PUBLIC-GAP-0035,public_contract_snapshot,Page durability fences and mutation ordering,PRF_G07_MGA_RECOVERY_READY,completed
