component_id,category,name,driver_package_uuid,driver_family,driver_status,api_surface_set,ingress_mode_set,wire_protocol_set,dsn_key_set,auth_method_set,tls_profile_set,type_mapping_profile,diagnostic_mapping_profile,metadata_profile,thread_safety_class,pooling_capability,release_bucket,conformance_profile_ref,source_path
driver:adbc,driver,adbc,019e12a0-0025-7000-8000-000000000025,adbc,beta_2,adbc_c_api,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,arrow_recordbatch,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_adbc_gate,project/drivers/driver/adbc
driver:flightsql,driver,flightsql,019e12a0-0026-7000-8000-000000000026,flight_sql,beta_2,flight_sql_grpc,direct_listener;manager_proxy,sbwp_v1_1,flight_endpoint;database;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,arrow_recordbatch,grpc_status_sqlstate,sys_information_recursive,thread_safe,stream_pool,release_candidate,driver_flightsql_gate,project/drivers/driver/flightsql
driver:julia,driver,julia,019e12a0-0027-7000-8000-000000000027,julia,beta_2,dbinterface_tables,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_julia_gate,project/drivers/driver/julia
driver:perl,driver,perl,019e12a0-0028-7000-8000-000000000028,perl,beta_2,perl_dbi,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,connection_thread_confined,connection_pool,release_candidate,driver_perl_gate,project/drivers/driver/perl
driver:r2dbc,driver,r2dbc,019e12a0-0029-7000-8000-000000000029,r2dbc,beta_2,r2dbc_spi,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,reactive_pool,release_candidate,driver_r2dbc_gate,project/drivers/driver/r2dbc
adaptor:scratchbird-airbyte,adaptor,scratchbird-airbyte,019e12a0-0030-7000-8000-000000000030,airbyte,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,python_dbapi_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_python,release_candidate,adaptor_airbyte_gate,project/drivers/adaptor/scratchbird-airbyte
adaptor:scratchbird-dbt-adapter,adaptor,scratchbird-dbt-adapter,019e12a0-0031-7000-8000-000000000031,dbt,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,python_dbapi_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_python,release_candidate,adaptor_dbt_gate,project/drivers/adaptor/scratchbird-dbt-adapter
adaptor:scratchbird-looker,adaptor,scratchbird-looker,019e12a0-0032-7000-8000-000000000032,looker,beta_2,application_adapter,driver_embedded_jdbc,sbwp_v1_1,jdbc_url;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,jdbc_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_jdbc,release_candidate,adaptor_looker_gate,project/drivers/adaptor/scratchbird-looker
adaptor:scratchbird-powerbi,adaptor,scratchbird-powerbi,019e12a0-0033-7000-8000-000000000033,powerbi,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,powerquery_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,explicit_session,release_candidate,adaptor_powerbi_gate,project/drivers/adaptor/scratchbird-powerbi
adaptor:scratchbird-tableau,adaptor,scratchbird-tableau,019e12a0-0034-7000-8000-000000000034,tableau,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,tableau_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,explicit_session,release_candidate,adaptor_tableau_gate,project/drivers/adaptor/scratchbird-tableau
driver:cpp,driver,cpp,019e12a0-0001-7000-8000-000000000001,c_cpp,beta_2,native_cli_c_api,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,session_pool;statement_cache,release_candidate,driver_cpp_gate,project/drivers/driver/cpp
