source_search_key,canonical_spec_or_reference,implementation_target,validation_gate,status
DRIVER-SERVER-SPEC-IMPLEMENTATION-RECONCILIATION-CLOSURE,project/drivers/fixtures/driver_server_reconciliation/public_proof/README.md,Corrective driver/server spec and implementation reconciliation,DSR_G13_FINAL_CLOSURE,pending
DRIVER-NORMALIZED-VERIFICATION-MINIMUM,public_contract_snapshot,All driver/adaptor/server surfaces that satisfy checklist rows,DSR_G00_CHECKLIST_PROMOTED,completed
DRIVER-NORMALIZED-VERIFICATION-CHECKLIST-2026-05-09,public_contract_snapshot,Machine-readable row authority for every D/A checklist row,DSR_G00_CHECKLIST_PROMOTED,completed
DRIVER_SERVER_TARGET_EVIDENCE,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/TARGET_EVIDENCE_MANIFEST.csv,Per-checklist-row evidence ownership labels route requirement and closure rule,DSR_G02A_EXECUTION_PLAN_ARTIFACTS_READY,completed
DRIVER_SERVER_AGENT_WRITE_SCOPE,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/AGENT_WRITE_SCOPE_MATRIX.csv,Disjoint agent ownership and forbidden write scopes,DSR_G02A_EXECUTION_PLAN_ARTIFACTS_READY,completed
DRIVER_SERVER_HARDENING,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/HARDENING_REQUIREMENTS.md;project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/AI_BUDGET_CONTINGENCY.md,No-placeholder hardening and low-budget resume controls,DSR_G02A_EXECUTION_PLAN_ARTIFACTS_READY,completed
DRIVER_SERVER_PHASE_MODELS,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/SPEC_AUTHORITY_CLOSURE_MODEL.md;project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/WIRE_SESSION_SPEC_CLOSURE_MODEL.md;project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/SECURITY_AUTH_RECONCILIATION_MODEL.md;project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/DATATYPE_RESULT_METADATA_CLOSURE_MODEL.md;project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/DRIVER_LANE_EVIDENCE_MODEL.md;project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/FULL_ROUTE_DRIVER_ACCEPTANCE_FIXTURE.md,Phase-specific closure models for autonomous implementation,DSR_G02A_EXECUTION_PLAN_ARTIFACTS_READY,completed
DRIVER-CORE-BASELINE-FUNCTIONAL-UNION,public_contract_snapshot,Driver baseline optional wording supersession,DSR_G00_CHECKLIST_PROMOTED,completed
SB_ENGINE_INTERNAL_API_AUTH_PROVIDER_MODEL_BEHAVIOR,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security/auth_provider_model.cpp,DSR_G01_PEER_FAIL_CLOSED,completed
DRIVER_SPEC_GAP_ANALYSIS_2026_05_10,public_audit_summary,Canonical spec amendments for every under-specified/absent server dependency,DSR_G03_SPEC_AUTHORITY_COMPLETE,completed
IMPLEMENTATION_AHEAD_NETWORK_AUDIT_2026_05_10,public_audit_summary,Implementation-ahead classification and code guards,DSR_G02_IMPLEMENTATION_AHEAD_CLASSIFICATION,completed
CONNECT_KEY_REGISTRY,public_contract_snapshot,project/src/manager;project/src/listener;project/src/parsers,DSR_G05_WIRE_SESSION_AUTHORITY,completed
CANCEL_OUTCOME_SQLSTATE_REGISTRY,public_contract_snapshot,project/src/server;project/src/parsers,DSR_G06_PARAMETER_RESULT_TYPE_AUTHORITY,completed
SBLR_API_OPERATION_MATRIX_BACKPORT,public_contract_snapshot,project/src/engine/internal_api/SBLR_API_OPERATION_MATRIX.yaml,DSR_G03_SPEC_AUTHORITY_COMPLETE,completed
CANONICAL_TYPE_ID_WIRE_STITCHING,public_contract_snapshot;public_contract_snapshot,project/src/core/datatypes/datatype_descriptor.hpp,DSR_G06_PARAMETER_RESULT_TYPE_AUTHORITY,completed
DRIVER_LANE_STATUS_MANIFESTS,public_contract_snapshot*-checklist-status.yaml,project/drivers/driver,DSR_G08_DRIVER_ADAPTER_MANIFESTS,completed
ADAPTER_STATUS_MANIFESTS,public_contract_snapshot*-checklist-status.yaml,project/drivers/adaptor,DSR_G08_DRIVER_ADAPTER_MANIFESTS,completed
DRIVER_CTEST_GATE,project/drivers/CMakeLists.txt;project/tests,project/drivers;project/tests,DSR_G09_CTEST_DRIVER_GATE,completed
SERVER_VERIFICATION_PACKETS,public_contract_snapshot,project/drivers,DSR_G10_SERVER_VERIFICATION_PACKETS,completed
DRIVER_SERVER_PROTOCOL_VERSION_SKEW,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/PROTOCOL_VERSION_SKEW_MATRIX.md;public_contract_snapshot,project/src/manager;project/src/listener;project/src/parsers;project/drivers,DSR_G14_PROTOCOL_VERSION_SKEW,completed
DRIVER_SERVER_DETERMINISTIC_REFUSAL,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/DETERMINISTIC_REFUSAL_MATRIX.md;public_contract_snapshot,project/src/server;project/src/parsers;project/drivers,DSR_G15_DETERMINISTIC_REFUSAL,completed
DRIVER_SERVER_FUZZ_FAULT_INJECTION,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/FUZZ_FAULT_INJECTION_MATRIX.md,project/tests;project/src/manager;project/src/listener;project/src/parsers;project/drivers,DSR_G16_FUZZ_FAULT_INJECTION,completed
DRIVER_SERVER_PACKAGING_DISTRIBUTION,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/PACKAGING_DISTRIBUTION_EVIDENCE_MODEL.md,project/drivers,DSR_G17_PACKAGING_DISTRIBUTION,completed
DRIVER_SERVER_PERFORMANCE_BUDGET,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/PERFORMANCE_BUDGET_GATE.md,project/tests;project/drivers,DSR_G18_PERFORMANCE_BUDGET,completed
DRIVER_SERVER_DOCUMENTATION_SAMPLE_APP,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/DOCUMENTATION_SAMPLE_APP_GATE.md,project/drivers;docs,DSR_G19_DOCUMENTATION_SAMPLE_APP,completed
DRIVER_SERVER_DONOR_COMPATIBILITY_ROUTE,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/DONOR_DRIVER_COMPATIBILITY_ROUTE_GATE.md,project/tests;project/drivers,DSR_G20_DONOR_COMPATIBILITY_ROUTE,completed
DRIVER_SERVER_RELEASE_DECLARATION_GENERATOR,project/drivers/fixtures/driver_server_reconciliation/public_proof/artifacts/RELEASE_DECLARATION_GENERATOR_MODEL.md;public_audit_summary,public_audit_summary,DSR_G21_RELEASE_DECLARATION,completed
